ticker,name,currency,exchange,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level,total_revenue,operating_costs,proprietary_expenses,gross_profit,management_fee,total_operating_revenues,capex,roe,roic,roic_ttm,ev_ebitda,pe,pb,pcf,ps,market_cap,roa,short_debt_ratio,long_debt_ratio,debt_to_capital,asset_to_liab,equity_multiplier,current_ratio,net_income,management_compensation,beta,calculated_total,total_check,sector
orcl,Oracle Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,A,High,BB,Medium,B,Medium,500,300,200,1000,BBB,High,42440000000.0,,26610000000.0,,1317000000.0,42440000000.0,4511000000.0,,8.4426,9.6455,15.8671002093023,61.1475553461367,-66.0334612958199,-47.1288731222031,9.67785412959472,232889682870.0,6.314,16.9565,83.0435,108.9318,105.2774,-18.9489,1.6213,6901000000.0,318983639.0,-0.0671107018302926,1000,True,Tech
o,Realty Income Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,A,High,BB,Medium,BB,Medium,500,300,300,1100,BBB,High,,226330000.0,1808848000.0,,138459000.0,3343681000.0,8981950000.0,3.2341,,,,64.6403066352967,1.95724961101201,-532.750641885143,16.8074645013026,42328445935.69,1.7563,,,42.0439,41.9338,1.7222,,872416000.0,32740033.0,-0.0249042114484476,1100,True,Real_Assets
dpz,Domino's Pizza Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,B,Medium,B,Medium,B,Medium,205,205,200,610,B,Medium,4537158000.0,2888552000.0,901854000.0,1648606000.0,416524000.0,4537158000.0,94048000.0,,53.4003,54.2823,31.7861820488793,26.6599406327292,-2.87828064982997,-28.0321598664106,2.65745753848114,20534149864.41,28.2273,9.266,90.734,602.7876,361.4536,-0.3825,1.4734,452263000.0,23527429.0,-0.0253828442138722,610,True,Consumer
t,AT&T Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Telecommunication,B,Medium,B,Medium,BB,Medium,210,200,305,715,B,Medium,120741000000.0,50848000000.0,46982000000.0,69893000000.0,,120741000000.0,19626000000.0,-6.4617,-2.9537,-3.7392,5.48909268712982,-23.7513717330971,2.07647889900431,-11.5537689124533,1.67678495832335,175670171767.8,-1.7513,18.952,81.048,58.2244,73.5742,3.7842,0.5894,-7055000000.0,73832746.0,-0.0074931836983629,715,True,Tech
unp,Union Pacific Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Road and Rail,B,Medium,B,Medium,B,Medium,290,257,245,792,BB,Medium,24875000000.0,,14958000000.0,,,24875000000.0,3620000000.0,53.1682,15.6592,15.3839,15.9777309001588,20.291785163904,11.6749085404094,35500.47814425,5.70861960108543,160943378396.08,10.6923,10.3592,89.6408,73.2617,81.4161,5.381,0.7159,6998000000.0,28193638.0,0.0880273623286767,792,True,Transport
nem,Newmont Corporation,USD,"NEW YORK STOCK EXCHANGE, INC.",Metals and Mining,AA,Excellent,BB,Medium,BB,Medium,675,389,355,1419,A,High,11915000000.0,6468000000.0,4241000000.0,5447000000.0,276000000.0,11915000000.0,2131000000.0,-2.0713,-1.5931,-1.6833,13.9800718033692,-250.121575283916,5.54418496418312,-49.9312032558399,9.005636239765,49119840000.0,-0.9589,15.4414,84.5586,24.0603,49.2412,1.9701,2.2266,-369000000.0,36323460.0,0.0393150929275963,1419,True,Energy_Materials
fdx,FedEx Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Logistics and Transportation,BB,Medium,B,Medium,B,Medium,335,278,255,868,BB,Medium,93512000000.0,,86989000000.0,,,93512000000.0,6763000000.0,15.5823,8.4787,8.4486,7.3341961647823,21.7995273287507,3.34435990054934,-438.973639788421,0.891917524593635,68531670614.88,4.4491,23.3789,76.6211,44.8289,70.9991,3.4482,1.4267,3826000000.0,30324811.0,0.101679222698884,868,True,Transport
nke,Nike Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Textiles Apparel and Luxury Goods,B,Medium,B,Medium,B,Medium,205,275,200,680,B,Medium,46710000000.0,25231000000.0,14804000000.0,21479000000.0,10954000000.0,46710000000.0,758000000.0,43.1118,25.7864,24.4668,33.9675496309469,12.7495143470294,5.04440571573457,-58.6186796518175,1.65025826893899,263554483150.91,14.9947,42.8514,57.1486,38.1611,62.1016,2.6386,2.6294,6046000000.0,59985024.0,0.224267518856306,680,True,Consumer
f,Ford Motor Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Automobiles,B,Medium,B,Medium,B,Medium,292,246,215,753,BB,Medium,158057000000.0,134397000000.0,10888000000.0,23660000000.0,,158057000000.0,6866000000.0,-4.3177,-1.452,-1.492,5.15039529704592,-23.3608847097426,1.07020749757181,10.0538589202694,0.29279255338264,85593170000.0,-0.841,45.5375,54.4625,67.4326,83.1302,5.9278,1.2024,-2152000000.0,74871692.0,0.0529785845007878,753,True,Consumer
lmt,Lockheed Martin Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Aerospace and Defense,A,High,BB,Medium,BB,Medium,510,324,320,1154,BBB,High,65984000000.0,57697000000.0,,8287000000.0,,65984000000.0,1670000000.0,56.6823,24.2214,23.2112,11.8087401839803,25.1807810466155,15.5769735548457,-136.552731276443,2.18744297040495,96316110000.0,10.8396,36.4264,63.5736,62.4782,82.4773,5.7069,1.3213,5732000000.0,73931847.0,0.144980935005938,1154,True,Industrials
rsg,Republic Services Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Commercial Services and Supplies,B,Medium,B,Medium,B,Medium,293,235,216,744,B,Medium,13511300000.0,8205000000.0,2805900000.0,5306300000.0,,13511300000.0,1454000000.0,15.9401,7.4371,6.9283,16.9418900931736,45.1243021214305,6.93030268798679,617.542887174241,4.96820526787504,44233540000.0,5.1203,17.5084,82.4916,54.889,66.6581,2.9992,0.6952,1487600000.0,27355997.0,-0.0069694520321048,744,True,Industrials
enph,Enphase Energy Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,565,316,300,1181,BBB,High,2330853000.0,1356258000.0,523950000.0,974595000.0,140002000.0,2330853000.0,46443000.0,63.2873,22.1758,18.7795,124.531428744743,13.2563016781172,6.38047822230136,14.8831133660519,2.25992396235198,24494568360.0,12.8835,28.2559,71.7441,60.983,73.2329,3.7359,3.5478,397362000.0,51218358.0,0.326544619852123,1181,True,Tech
exc,Exelon Corp,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,AA,Excellent,BBB,High,BB,Medium,694,403,316,1413,A,High,19078000000.0,14371000000.0,1390000000.0,4707000000.0,,19078000000.0,7147000000.0,7.3389,3.0481,3.3491,9.82143266475645,22.8210481126267,2.001360911914,-93.613751237051,2.59574768866758,56547040000.0,2.2769,15.0287,84.9713,61.8113,74.049,3.8534,0.6914,2171000000.0,53129053.0,-0.0942746412106075,1413,True,Real_Assets
expd,Expeditors International of Washington Inc,USD,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,A,High,BB,Medium,BB,Medium,510,302,300,1112,BBB,High,17071284000.0,,15246913000.0,,,17071284000.0,86824000.0,41.1056,41.1056,43.646,10.4429538424477,14.0709485125597,6.1414027236472,62.5325889621168,1.11883156767821,22454630900.0,24.3381,82.9285,17.0715,0.0,44.306,1.7955,2.1996,1360605000.0,34191665.0,0.165671857890044,1112,True,Transport
expe,Expedia Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,B,Medium,B,Medium,BB,Medium,225,242,305,772,BB,Medium,11667000000.0,1657000000.0,8821000000.0,10010000000.0,748000000.0,11667000000.0,662000000.0,16.2212,3.6994,4.13,20.5486370833333,81.0540336060227,12.4971615546737,620.239561506957,2.44544611548127,28128706560.0,1.5908,60.4385,39.5615,73.2137,82.7095,5.7835,0.8156,343000000.0,42493810.0,0.133495591653894,772,True,Consumer
